description	timestamp	longitude	latitude	reportId	class	zip	city	state
Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve | Class A | Cordova-McCarthy County 	2000-06-16T12:00:00Z	-142.9	61.5	637	A	02261	Valdez-Cordova	AK
Report 2917: Family observes large biped from car | Class A | Prince of Wales County 	1995-05-15T12:00:00Z	-132.7982	55.1872	2917	A	02198	Prince of Wales-Hyder	AK
Report 7963: Sasquatch walks past window of house at night | Class A | Prince of Wales County 	2004-02-09T12:00:00Z	-132.8202	55.2035	7963	A	02198	Prince of Wales-Hyder	AK
Report 9317: Driver on Alcan Highway has noon, road encounter near Alaska-Canada border | Class A | Southeast Fairbanks County 	2004-06-18T12:00:00Z	-141.5667	62.93749999999999	9317	A	02240	Southeast Fairbanks	AK
Report 13038: Snowmobiler has encounter in deep snow near Potter, AK | Class A | Anchorage County 	2004-02-15T12:00:00Z	-149.7853	61.0595	13038	A	02020	Anchorage	AK
Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road | Class A | Southeast Fairbanks County 	2008-04-23T12:00:00Z	-141.3165	62.77335	23666	A	02240	Southeast Fairbanks	AK
Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks | Class A | Fairbanks County 	2009-07-15T12:00:00Z	-147.8142	64.89139	26604	A	02090	Fairbanks North Star	AK
Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving | Class A | Russell County 	1981-09-15T12:00:00Z	-85.16235	32.31435	179	A	01113	Russell	AL
Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard | Class A | Tuscaloosa County 	1999-07-15T12:00:00Z	-87.32655	33.28375	245	A	01125	Tuscaloosa	AL
Report 416: A resident's early evening sighting next to his home near New Market | Class A | Madison County 	1983-11-15T12:00:00Z	-86.4559	34.95605	416	A	01089	Madison	AL
Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs | Class A | Morgan County 	2000-10-10T12:00:00Z	-86.66464999999999	34.5422	435	A	01103	Morgan	AL
Report 451: Young man has sighting near home | Class A | Limestone County 	1993-08-20T12:00:00Z	-87.02025	34.9263	451	A	01083	Limestone	AL
Report 577: Man has repeated visits at family farm | Class A | Colbert County 	1999-11-15T12:00:00Z	-87.50905	34.80405	577	A	01033	Colbert	AL
Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water | Class A | Limestone County 	1978-04-15T12:00:00Z	-87.1105	34.92855	799	A	01083	Limestone	AL
Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described | Class A | Pickens County 	1980-11-15T12:00:00Z	-88.17885	33.13195	832	A	01107	Pickens	AL
Report 961: Motorist confronted by hairy, man-like creature on roadside | Class A | Washington County 	1997-01-06T12:00:00Z	-88.08305	31.4515	961	A	01129	Washington	AL
Report 1022: Hunters observe creature walking in the woods | Class A | Walker County 	1990-09-15T12:00:00Z	-87.45876	33.97575	1022	A	01127	Walker	AL
Report 1907: Motorist sees Bigfoot like creature, hears scream | Class A | Clarke County 	1996-12-05T12:00:00Z	-87.96095	31.58255	1907	A	01025	Clarke	AL
Report 3028: Daylight sighting by lady while her husband was clearing trees | Class A | Morgan County 	2000-06-01T12:00:00Z	-86.63330000000001	34.4881	3028	A	01103	Morgan	AL
Report 3296: Man on his way to work  sees sasquatch crossing road in his headlights | Class A | Limestone County 	2001-10-15T12:00:00Z	-87.00664999999999	34.6802	3296	A	01083	Limestone	AL
Report 4743: Nighttime sighting by two teens in southern Conecuh County | Class A | Conecuh County 	2000-02-10T12:00:00Z	-87.09069	31.16	4743	A	01053	Escambia	AL
Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville | Class A | Pickens County 	2007-09-01T12:00:00Z	-88.14999	33.13	5954	A	01107	Pickens	AL
Report 6938: Tracks and feces found in freshly turned field | Class A | Tuscaloosa County 	2003-08-30T12:00:00Z	-87.35664	33.21145	6938	A	01125	Tuscaloosa	AL
Report 7031: Lady sees large hairy creature on the side of the road | Class A | Tuscaloosa County 	2003-06-28T12:00:00Z	-87.31820999999999	33.26035	7031	A	01125	Tuscaloosa	AL
Report 7235: Recollection of an afternoon sighting on Green Mountain | Class A | Madison County 	2004-05-28T12:00:00Z	-86.52105	34.7325	7235	A	01089	Madison	AL
Report 7427: Four youths have harrowing experience in Alabama backwoods.  | Class A | Lee County 	2003-11-26T12:00:00Z	-85.4258	32.6218	7427	A	01081	Lee	AL
Report 8171: Nighttime Sighting on County Road | Class A | Shelby County 	2004-05-09T12:00:00Z	-86.64066	33.3674	8171	A	01117	Shelby	AL
Report 8679: Adult recalls childhood sighting at dusk near Moody | Class A | St. Clair County 	2004-09-30T12:00:00Z	-86.46639999999999	33.6205	8679	A	01115	St. Clair	AL
